"year","region","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2023,"China","non_suspect_bite_incidence","a2",154.562786253269,254.149118531374,204.967551396867,20291941.1325458,27530551.0850686,23934132.3546283,5576653042.85787,6608892465.0764,6096036375.75613,861.230618804895,1416.12887500617,1142.07721775172,2834.70986201519,4661.14146999673,3759.14250397717,15795.1275839144,25972.0634259694,20945.9057436938,5284359.66993379,7169414.34506994,6232846.96735111,4861610.89633909,6595861.19746435,5734219.20996302,909570.408187354,1234035.44414516,1072828.78425531,3937955.88896073,7673777.87177072,5337674.44180064,214717.365786262,418413.363865882,291037.133955951,1.201256584364e-09,2.6798495247465e-09,1.83235241252376e-09
2023,"China","non_suspect_bite_incidence","a3",241.681272234258,241.687070668694,241.684069667208,19887141.8549204,27215575.8582116,23530707.1236912,7538020366.41929,8585594747.22622,8058855462.79159,1249.18992577614,1249.19572421057,1249.19292677762,4432.47888106919,4432.58522542076,4432.53018650283,22910.3724639458,22910.4788082974,22910.4275028637,5206058.0772043,7124496.29796114,6159870.97478826,4737512.85025592,6483291.63114464,5605482.58705732,896092.746538791,1226303.92528656,1060267.79153543,6034298.88553527,6872929.86444146,6451249.67492407,329020.638524992,374747.060997696,351754.914297617,1.75337297337585e-09,2.39950401183654e-09,2.02795307221603e-09
2023,"China","non_suspect_bite_incidence","a7",241.681272234258,241.687070668694,241.684069667208,9958005.03588647,13622222.037532,11779787.6702718,6118718833.40265,6642506023.80612,6379136381.5888,1249.18992577614,1249.19572421057,1249.19292677762,4432.47888106919,4432.58522542076,4432.53018650283,22910.3724639458,22910.4788082974,22910.4275028637,2606807.6010174,3566026.71139582,3083714.04980938,2372194.91692584,3245084.3073702,2806179.78532654,448696.75832512,613802.347699006,530784.28082344,4898126.62244691,5317450.84293651,5106606.22938701,267070.753282846,289934.440579675,278438.120842199,3.50303019824318e-09,4.79205187112018e-09,4.05093632742907e-09
2023,"China","p_prevent","a2",153.075892934756,256.256548921954,205.333703040339,23888999.3214942,23902480.5360982,23895835.6078952,6089600320.16661,6091522766.7779,6090575187.49211,851.262424039487,1430.06186500613,1144.60419047166,2807.4399657101,4699.79213007152,3765.85779230694,15612.3090627622,26227.5970192597,20992.2508870747,6221093.57330577,6224604.30627557,6222873.85622271,5723406.08744131,5726635.96177353,5725043.94772489,1070805.73130526,1071410.01621768,1071112.16250233,4258277.53972063,7155869.44137844,5321119.07172239,232182.929899939,390174.364489564,290134.451053183,1.36757676818309e-09,2.29873067838493e-09,1.83934981958068e-09
2023,"China","p_prevent","a3",238.708246668853,244.813494573235,241.653227458905,23497695.7955662,23497695.7955662,23497695.7955662,8054136607.22099,8054136607.22099,8054136607.22099,1246.0635018716,1252.16874977598,1249.22376898593,4377.9530466522,4489.92441352599,4431.96453474303,22853.0332758406,22965.0046427144,22910.9931546235,6151229.26585502,6151229.26585502,6151229.26585502,5597618.63192807,5597618.63192807,5597618.63192807,1058780.3373853,1058780.3373853,1058780.3373853,6432149.50753398,6463664.64881094,6447312.9692041,350713.476114022,352431.84176061,351540.265097397,2.02571461413151e-09,2.03563986263147e-09,2.0308522329354e-09
2023,"China","p_prevent","a7",238.708246668853,244.813494573235,241.653227458905,11763282.0062093,11763282.0062093,11763282.0062093,6376776953.8035,6376776953.8035,6376776953.8035,1246.0635018716,1252.16874977598,1249.22376898593,4377.9530466522,4489.92441352599,4431.96453474303,22853.0332758406,22965.0046427144,22910.9931546235,3079393.19534276,3079393.19534276,3079393.19534276,2802247.80776191,2802247.80776191,2802247.80776191,530040.553748373,530040.553748373,530040.553748373,5092585.9273715,5117537.7051214,5104591.43679273,277673.662732158,279034.160447524,278328.264111792,4.04645793124479e-09,4.06628407073752e-09,4.05672056064564e-09
2023,"China","p_transmission","a2",139.419234285183,272.996613649879,204.15214949754,23889307.435375,23902642.4680766,23895703.320746,6089644257.78673,6091545858.58322,6090556323.09531,776.83645402466,1521.14574500178,1137.53384708286,2556.97434009252,5006.80798896827,3744.18788351801,14247.3231155927,27898.0920921886,20862.5794919225,6221173.81129556,6224646.47606161,6222839.40644428,5723479.90639192,5726674.75797668,5725012.25392873,1070819.54226925,1071417.2746921,1071106.23283422,4003327.27997712,7841477.86451568,5354175.91196447,218281.746209154,427557.219637734,291936.877961492,1.24800092183897e-09,2.44511050670194e-09,1.82799807738063e-09
2023,"China","p_transmission","a3",192.173705466182,295.795557334345,242.189885441744,23497695.7955662,23497695.7955662,23497695.7955662,8054136607.22099,8054136607.22099,8054136607.22099,993.289745711556,1528.88317300203,1251.80734212921,3524.50102194937,5424.94479972673,4441.80694062454,18217.1162041119,28039.9979415243,22958.3763601546,6151229.26585502,6151229.26585502,6151229.26585502,5597618.63192807,5597618.63192807,5597618.63192807,1058780.3373853,1058780.3373853,1058780.3373853,5267986.95246696,8108547.01963253,6434006.52493511,287237.41792055,442119.187086432,350814.730139164,1.6147825138387e-09,2.48549209747187e-09,2.03505232535859e-09
2023,"China","p_transmission","a7",192.173705466182,295.795557334345,242.189885441744,11763282.0062093,11763282.0062093,11763282.0062093,6376776953.8035,6376776953.8035,6376776953.8035,993.289745711556,1528.88317300203,1251.80734212921,3524.50102194937,5424.94479972673,4441.80694062454,18217.1162041119,28039.9979415243,22958.3763601546,3079393.19534276,3079393.19534276,3079393.19534276,2802247.80776191,2802247.80776191,2802247.80776191,530040.553748373,530040.553748373,530040.553748373,4170872.61238045,6419855.81884309,5094056.20113811,227417.169113274,350043.161736224,277753.829529109,3.2256021972569e-09,4.96488456009547e-09,4.06511043806431e-09
2023,"China","suspect_bite_incidence","a2",152.849409546347,256.889670880897,203.546536045412,23889033.0690468,23902498.9791456,23895594.7143481,6089605132.63123,6091525396.79122,6090540835.61827,851.670059818411,1431.40001276933,1134.15929657438,2803.28621880718,4711.40370297584,3733.08082167648,15619.7851777484,26252.1388947856,20800.68961637,6221102.36173095,6224609.10915251,6222811.12352816,5723414.17279247,5726640.38042031,5724986.23364591,1070807.24401294,1071410.84291288,1071101.36463728,4254300.04073402,7152447.50777083,5370092.94374626,231966.05644353,389987.783280724,292804.755416621,1.36823059068261e-09,2.30087841276262e-09,1.82258351420337e-09
